Simulacion a traves del Metodo de Runge-Kutta de Orden Cuatro: 
t_i 		 | 	 x_i 		 | 	 y_i
0.00000 	 | 	 2.00000 	 | 	 1.00000
0.10000 	 | 	 2.12486 	 | 	 0.98201
0.20000 	 | 	 2.25968 	 | 	 0.96811
0.30000 	 | 	 2.40476 	 | 	 0.95842
0.40000 	 | 	 2.56030 	 | 	 0.95312
0.50000 	 | 	 2.72640 	 | 	 0.95242
0.60000 	 | 	 2.90298 	 | 	 0.95664
0.70000 	 | 	 3.08972 	 | 	 0.96612
0.80000 	 | 	 3.28605 	 | 	 0.98133
0.90000 	 | 	 3.49103 	 | 	 1.00279
1.00000 	 | 	 3.70326 	 | 	 1.03116
1.10000 	 | 	 3.92083 	 | 	 1.06720
1.20000 	 | 	 4.14118 	 | 	 1.11178
1.30000 	 | 	 4.36099 	 | 	 1.16591
1.40000 	 | 	 4.57615 	 | 	 1.23069
1.50000 	 | 	 4.78162 	 | 	 1.30731
1.60000 	 | 	 4.97149 	 | 	 1.39699
1.70000 	 | 	 5.13899 	 | 	 1.50086
1.80000 	 | 	 5.27676 	 | 	 1.61989
1.90000 	 | 	 5.37713 	 | 	 1.75465
2.00000 	 | 	 5.43272 	 | 	 1.90511
2.10000 	 | 	 5.43710 	 | 	 2.07036
2.20000 	 | 	 5.38566 	 | 	 2.24837
2.30000 	 | 	 5.27644 	 | 	 2.43582
2.40000 	 | 	 5.11075 	 | 	 2.62801
2.50000 	 | 	 4.89352 	 | 	 2.81908
2.60000 	 | 	 4.63303 	 | 	 3.00237
2.70000 	 | 	 4.34019 	 | 	 3.17106
2.80000 	 | 	 4.02733 	 | 	 3.31884
2.90000 	 | 	 3.70684 	 | 	 3.44055
3.00000 	 | 	 3.39000 	 | 	 3.53270
3.10000 	 | 	 3.08602 	 | 	 3.59362
3.20000 	 | 	 2.80168 	 | 	 3.62343
3.30000 	 | 	 2.54127 	 | 	 3.62372
3.40000 	 | 	 2.30691 	 | 	 3.59721
3.50000 	 | 	 2.09901 	 | 	 3.54728
3.60000 	 | 	 1.91675 	 | 	 3.47765
3.70000 	 | 	 1.75851 	 | 	 3.39203
3.80000 	 | 	 1.62228 	 | 	 3.29395
3.90000 	 | 	 1.50588 	 | 	 3.18663
4.00000 	 | 	 1.40715 	 | 	 3.07288
4.10000 	 | 	 1.32407 	 | 	 2.95515
4.20000 	 | 	 1.25482 	 | 	 2.83545
4.30000 	 | 	 1.19777 	 | 	 2.71545
4.40000 	 | 	 1.15156 	 | 	 2.59652
4.50000 	 | 	 1.11498 	 | 	 2.47973
4.60000 	 | 	 1.08707 	 | 	 2.36590
4.70000 	 | 	 1.06701 	 | 	 2.25568
4.80000 	 | 	 1.05414 	 | 	 2.14954
4.90000 	 | 	 1.04794 	 | 	 2.04780
5.00000 	 | 	 1.04801 	 | 	 1.95070
5.10000 	 | 	 1.05406 	 | 	 1.85838
5.20000 	 | 	 1.06587 	 | 	 1.77091
5.30000 	 | 	 1.08333 	 | 	 1.68829
5.40000 	 | 	 1.10639 	 | 	 1.61050
5.50000 	 | 	 1.13506 	 | 	 1.53750
5.60000 	 | 	 1.16942 	 | 	 1.46918
5.70000 	 | 	 1.20960 	 | 	 1.40548
5.80000 	 | 	 1.25578 	 | 	 1.34628
5.90000 	 | 	 1.30819 	 | 	 1.29148
6.00000 	 | 	 1.36710 	 | 	 1.24098
6.10000 	 | 	 1.43282 	 | 	 1.19468
6.20000 	 | 	 1.50569 	 | 	 1.15251
6.30000 	 | 	 1.58608 	 | 	 1.11438
6.40000 	 | 	 1.67438 	 | 	 1.08024
6.50000 	 | 	 1.77102 	 | 	 1.05006
6.60000 	 | 	 1.87641 	 | 	 1.02381
6.70000 	 | 	 1.99096 	 | 	 1.00152
6.80000 	 | 	 2.11509 	 | 	 0.98323
6.90000 	 | 	 2.24915 	 | 	 0.96902
7.00000 	 | 	 2.39344 	 | 	 0.95900
7.10000 	 | 	 2.54819 	 | 	 0.95336
7.20000 	 | 	 2.71349 	 | 	 0.95231
7.30000 	 | 	 2.88928 	 | 	 0.95614
7.40000 	 | 	 3.07527 	 | 	 0.96521
7.50000 	 | 	 3.27091 	 | 	 0.97997
7.60000 	 | 	 3.47528 	 | 	 1.00094
7.70000 	 | 	 3.68702 	 | 	 1.02876
7.80000 	 | 	 3.90427 	 | 	 1.06419
7.90000 	 | 	 4.12451 	 | 	 1.10809
8.00000 	 | 	 4.34450 	 | 	 1.16146
8.10000 	 | 	 4.56017 	 | 	 1.22540
8.20000 	 | 	 4.76657 	 | 	 1.30109
8.30000 	 | 	 4.95784 	 | 	 1.38973
8.40000 	 | 	 5.12729 	 | 	 1.49250
8.50000 	 | 	 5.26756 	 | 	 1.61036
8.60000 	 | 	 5.37102 	 | 	 1.74392
8.70000 	 | 	 5.43023 	 | 	 1.89321
8.80000 	 | 	 5.43867 	 | 	 2.05740
8.90000 	 | 	 5.39155 	 | 	 2.23455
9.00000 	 | 	 5.28669 	 | 	 2.42143
9.10000 	 | 	 5.12514 	 | 	 2.61345
9.20000 	 | 	 4.91155 	 | 	 2.80483
9.30000 	 | 	 4.65398 	 | 	 2.98896
9.40000 	 | 	 4.36317 	 | 	 3.15898
9.50000 	 | 	 4.05137 	 | 	 3.30853
9.60000 	 | 	 3.73105 	 | 	 3.43236
9.70000 	 | 	 3.41358 	 | 	 3.52682
9.80000 	 | 	 3.10836 	 | 	 3.59012
9.90000 	 | 	 2.82236 	 | 	 3.62224
10.00000 	 | 	 2.56004 	 | 	 3.62468
10.10000 	 | 	 2.32368 	 | 	 3.60007
10.20000 	 | 	 2.11380 	 | 	 3.55179
10.30000 	 | 	 1.92965 	 | 	 3.48351
10.40000 	 | 	 1.76967 	 | 	 3.39897
10.50000 	 | 	 1.63185 	 | 	 3.30172
10.60000 	 | 	 1.51403 	 | 	 3.19499
10.70000 	 | 	 1.41404 	 | 	 3.08164
10.80000 	 | 	 1.32984 	 | 	 2.96413
10.90000 	 | 	 1.25960 	 | 	 2.84451
11.00000 	 | 	 1.20169 	 | 	 2.72449
11.10000 	 | 	 1.15470 	 | 	 2.60544
11.20000 	 | 	 1.11743 	 | 	 2.48845
11.30000 	 | 	 1.08890 	 | 	 2.37438
11.40000 	 | 	 1.06827 	 | 	 2.26387
11.50000 	 | 	 1.05487 	 | 	 2.15740
11.60000 	 | 	 1.04819 	 | 	 2.05532
11.70000 	 | 	 1.04779 	 | 	 1.95787
11.80000 	 | 	 1.05340 	 | 	 1.86519
11.90000 	 | 	 1.06478 	 | 	 1.77734
12.00000 	 | 	 1.08182 	 | 	 1.69436
12.10000 	 | 	 1.10445 	 | 	 1.61621
12.20000 	 | 	 1.13270 	 | 	 1.54284
12.30000 	 | 	 1.16662 	 | 	 1.47418
12.40000 	 | 	 1.20636 	 | 	 1.41013
12.50000 	 | 	 1.25208 	 | 	 1.35059
12.60000 	 | 	 1.30401 	 | 	 1.29547
12.70000 	 | 	 1.36242 	 | 	 1.24464
12.80000 	 | 	 1.42761 	 | 	 1.19804
12.90000 	 | 	 1.49993 	 | 	 1.15555
13.00000 	 | 	 1.57974 	 | 	 1.11712
13.10000 	 | 	 1.66743 	 | 	 1.08268
13.20000 	 | 	 1.76342 	 | 	 1.05220
13.30000 	 | 	 1.86813 	 | 	 1.02566
13.40000 	 | 	 1.98198 	 | 	 1.00307
13.50000 	 | 	 2.10537 	 | 	 0.98447
13.60000 	 | 	 2.23867 	 | 	 0.96994
13.70000 	 | 	 2.38218 	 | 	 0.95961
13.80000 	 | 	 2.53613 	 | 	 0.95363
13.90000 	 | 	 2.70064 	 | 	 0.95222
14.00000 	 | 	 2.87564 	 | 	 0.95568
14.10000 	 | 	 3.06088 	 | 	 0.96434
14.20000 	 | 	 3.25582 	 | 	 0.97864
14.30000 	 | 	 3.45956 	 | 	 0.99912
14.40000 	 | 	 3.67081 	 | 	 1.02640
14.50000 	 | 	 3.88772 	 | 	 1.06123
14.60000 	 | 	 4.10784 	 | 	 1.10446
14.70000 	 | 	 4.32798 	 | 	 1.15708
14.80000 	 | 	 4.54414 	 | 	 1.22018
14.90000 	 | 	 4.75143 	 | 	 1.29493
15.00000 	 | 	 4.94407 	 | 	 1.38256
15.10000 	 | 	 5.11541 	 | 	 1.48422
15.20000 	 | 	 5.25816 	 | 	 1.60092
15.30000 	 | 	 5.36467 	 | 	 1.73328
15.40000 	 | 	 5.42746 	 | 	 1.88140
15.50000 	 | 	 5.43992 	 | 	 2.04452
15.60000 	 | 	 5.39712 	 | 	 2.22078
15.70000 	 | 	 5.29662 	 | 	 2.40707
15.80000 	 | 	 5.13924 	 | 	 2.59889
15.90000 	 | 	 4.92934 	 | 	 2.79055
16.00000 	 | 	 4.67474 	 | 	 2.97546
16.10000 	 | 	 4.38602 	 | 	 3.14678
16.20000 	 | 	 4.07537 	 | 	 3.29808
16.30000 	 | 	 3.75527 	 | 	 3.42399
16.40000 	 | 	 3.43723 	 | 	 3.52076
16.50000 	 | 	 3.13081 	 | 	 3.58644
16.60000 	 | 	 2.84317 	 | 	 3.62087
16.70000 	 | 	 2.57896 	 | 	 3.62547
16.80000 	 | 	 2.34061 	 | 	 3.60280
16.90000 	 | 	 2.12874 	 | 	 3.55618
17.00000 	 | 	 1.94269 	 | 	 3.48928
17.10000 	 | 	 1.78095 	 | 	 3.40584
17.20000 	 | 	 1.64154 	 | 	 3.30943
17.30000 	 | 	 1.52228 	 | 	 3.20331
17.40000 	 | 	 1.42102 	 | 	 3.09037
17.50000 	 | 	 1.33569 	 | 	 2.97310
17.60000 	 | 	 1.26446 	 | 	 2.85358
17.70000 	 | 	 1.20567 	 | 	 2.73354
17.80000 	 | 	 1.15789 	 | 	 2.61437
17.90000 	 | 	 1.11993 	 | 	 2.49720
18.00000 	 | 	 1.09077 	 | 	 2.38288
18.10000 	 | 	 1.06956 	 | 	 2.27208
18.20000 	 | 	 1.05564 	 | 	 2.16529
18.30000 	 | 	 1.04847 	 | 	 2.06287
18.40000 	 | 	 1.04761 	 | 	 1.96507
18.50000 	 | 	 1.05277 	 | 	 1.87202
18.60000 	 | 	 1.06372 	 | 	 1.78381
